,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),RollingAverageLap
67,VER,0 days 00:01:33.659000,68.0,2.0,INTERMEDIATE,13.0,68.0,0 days 00:00:24.462000,0 days 00:00:45.428000,0 days 00:00:23.769000,93.659,24.462,45.428,23.769,83.09523880597015
68,VER,0 days 00:01:31.607000,69.0,2.0,INTERMEDIATE,14.0,69.0,0 days 00:00:24.291000,0 days 00:00:44.421000,0 days 00:00:22.895000,91.607,24.291,44.421,22.895,83.22041176470589
69,VER,0 days 00:01:31.244000,70.0,2.0,INTERMEDIATE,15.0,70.0,0 days 00:00:24.246000,0 days 00:00:43.908000,0 days 00:00:23.090000,91.244,24.246,43.908,23.09,83.33669565217392
70,VER,0 days 00:01:30.363000,71.0,2.0,INTERMEDIATE,16.0,71.0,0 days 00:00:24.390000,0 days 00:00:43.707000,0 days 00:00:22.266000,90.363,24.39,43.707,22.266,83.43707142857143
71,VER,0 days 00:01:30.402000,72.0,2.0,INTERMEDIATE,17.0,72.0,0 days 00:00:23.566000,0 days 00:00:44.437000,0 days 00:00:22.399000,90.402,23.566,44.437,22.399,83.53516901408452
72,VER,0 days 00:01:28.386000,73.0,2.0,INTERMEDIATE,18.0,73.0,0 days 00:00:23.253000,0 days 00:00:42.926000,0 days 00:00:22.207000,88.386,23.253,42.926,22.207,83.60254166666667
73,VER,0 days 00:01:26.864000,74.0,2.0,INTERMEDIATE,19.0,74.0,0 days 00:00:23.030000,0 days 00:00:42.003000,0 days 00:00:21.831000,86.864,23.03,42.003,21.831,83.6472191780822
74,VER,0 days 00:01:25.518000,75.0,2.0,INTERMEDIATE,20.0,75.0,0 days 00:00:22.254000,0 days 00:00:41.506000,0 days 00:00:21.758000,85.518,22.254,41.506,21.758,83.6725
75,VER,0 days 00:01:25.316000,76.0,2.0,INTERMEDIATE,21.0,76.0,0 days 00:00:22.131000,0 days 00:00:41.454000,0 days 00:00:21.731000,85.316,22.131,41.454,21.731,83.69441333333333
76,VER,0 days 00:01:25.460000,77.0,2.0,INTERMEDIATE,22.0,77.0,0 days 00:00:22.004000,0 days 00:00:41.347000,0 days 00:00:22.109000,85.46,22.004,41.347,22.109,83.7176447368421
77,VER,0 days 00:01:25.201000,78.0,2.0,INTERMEDIATE,23.0,78.0,0 days 00:00:22.353000,0 days 00:00:40.652000,0 days 00:00:22.196000,85.201,22.353,40.652,22.196,83.7369090909091
78,GAS,,1.0,1.0,HARD,1.0,1.0,,0 days 00:00:39.087000,0 days 00:00:21.849000,,,39.087,21.849,
79,GAS,0 days 00:01:20.636000,2.0,1.0,HARD,2.0,2.0,0 days 00:00:21.350000,0 days 00:00:37.855000,0 days 00:00:21.431000,80.636,21.35,37.855,21.431,80.636
