,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),RollingAverageLap
83,GAS,0 days 00:01:18.842000,6.0,1.0,HARD,6.0,6.0,0 days 00:00:20.676000,0 days 00:00:37.099000,0 days 00:00:21.067000,78.842,20.676,37.099,21.067,81.32183333333333
84,GAS,0 days 00:01:18.604000,7.0,1.0,HARD,7.0,7.0,0 days 00:00:20.648000,0 days 00:00:36.798000,0 days 00:00:21.158000,78.604,20.648,36.798,21.158,80.93357142857143
85,GAS,0 days 00:01:19.317000,8.0,1.0,HARD,8.0,8.0,0 days 00:00:20.688000,0 days 00:00:37.190000,0 days 00:00:21.439000,79.317,20.688,37.19,21.439,80.7315
86,GAS,0 days 00:01:18.788000,9.0,1.0,HARD,9.0,9.0,0 days 00:00:20.685000,0 days 00:00:37.020000,0 days 00:00:21.083000,78.788,20.685,37.02,21.083,80.51555555555555
87,GAS,0 days 00:01:18.310000,10.0,1.0,HARD,10.0,10.0,0 days 00:00:20.726000,0 days 00:00:36.677000,0 days 00:00:20.907000,78.31,20.726,36.677,20.907,80.29499999999999
88,GAS,0 days 00:01:18.367000,11.0,1.0,HARD,11.0,11.0,0 days 00:00:20.701000,0 days 00:00:36.865000,0 days 00:00:20.801000,78.367,20.701,36.865,20.801,80.11972727272727
89,GAS,0 days 00:01:18.582000,12.0,1.0,HARD,12.0,12.0,0 days 00:00:21.082000,0 days 00:00:36.748000,0 days 00:00:20.752000,78.582,21.082,36.748,20.752,79.99158333333334
90,GAS,0 days 00:01:17.713000,13.0,1.0,HARD,13.0,13.0,0 days 00:00:20.396000,0 days 00:00:36.581000,0 days 00:00:20.736000,77.713,20.396,36.581,20.736,79.8163076923077
91,GAS,0 days 00:01:18.564000,14.0,1.0,HARD,14.0,14.0,0 days 00:00:20.586000,0 days 00:00:36.827000,0 days 00:00:21.151000,78.564,20.586,36.827,21.151,79.72685714285714
92,GAS,0 days 00:01:18.284000,15.0,1.0,HARD,15.0,15.0,0 days 00:00:20.527000,0 days 00:00:36.719000,0 days 00:00:21.038000,78.284,20.527,36.719,21.038,79.63066666666667
93,GAS,0 days 00:01:18.298000,16.0,1.0,HARD,16.0,16.0,0 days 00:00:20.492000,0 days 00:00:36.990000,0 days 00:00:20.816000,78.298,20.492,36.99,20.816,79.547375
94,GAS,0 days 00:01:17.990000,17.0,1.0,HARD,17.0,17.0,0 days 00:00:20.540000,0 days 00:00:36.697000,0 days 00:00:20.753000,77.99,20.54,36.697,20.753,79.45576470588236
95,GAS,0 days 00:01:18.453000,18.0,1.0,HARD,18.0,18.0,0 days 00:00:20.445000,0 days 00:00:36.986000,0 days 00:00:21.022000,78.453,20.445,36.986,21.022,79.40005555555555
96,GAS,0 days 00:01:18.109000,19.0,1.0,HARD,19.0,19.0,0 days 00:00:20.476000,0 days 00:00:36.707000,0 days 00:00:20.926000,78.109,20.476,36.707,20.926,79.33210526315789
97,GAS,0 days 00:01:18.587000,20.0,1.0,HARD,20.0,20.0,0 days 00:00:20.564000,0 days 00:00:36.984000,0 days 00:00:21.039000,78.587,20.564,36.984,21.039,79.29485
98,GAS,0 days 00:01:17.810000,21.0,1.0,HARD,21.0,21.0,0 days 00:00:20.453000,0 days 00:00:36.637000,0 days 00:00:20.720000,77.81,20.453,36.637,20.72,79.22414285714285
99,GAS,0 days 00:01:18.213000,22.0,1.0,HARD,22.0,22.0,0 days 00:00:20.473000,0 days 00:00:36.948000,0 days 00:00:20.792000,78.213,20.473,36.948,20.792,79.17818181818183
100,GAS,0 days 00:01:17.942000,23.0,1.0,HARD,23.0,23.0,0 days 00:00:20.514000,0 days 00:00:36.707000,0 days 00:00:20.721000,77.942,20.514,36.707,20.721,79.12443478260869
101,GAS,0 days 00:01:17.577000,24.0,1.0,HARD,24.0,24.0,0 days 00:00:20.258000,0 days 00:00:36.650000,0 days 00:00:20.669000,77.577,20.258,36.65,20.669,79.05995833333333
102,GAS,0 days 00:01:17.540000,25.0,1.0,HARD,25.0,25.0,0 days 00:00:20.314000,0 days 00:00:36.597000,0 days 00:00:20.629000,77.54,20.314,36.597,20.629,78.99916
103,GAS,0 days 00:01:17.912000,26.0,1.0,HARD,26.0,26.0,0 days 00:00:20.321000,0 days 00:00:36.768000,0 days 00:00:20.823000,77.912,20.321,36.768,20.823,78.95734615384616
104,GAS,0 days 00:01:18.012000,27.0,1.0,HARD,27.0,27.0,0 days 00:00:20.343000,0 days 00:00:36.879000,0 days 00:00:20.790000,78.012,20.343,36.879,20.79,78.92233333333333
105,GAS,0 days 00:01:17.285000,28.0,1.0,HARD,28.0,28.0,0 days 00:00:20.232000,0 days 00:00:36.519000,0 days 00:00:20.534000,77.285,20.232,36.519,20.534,78.86385714285714
106,GAS,0 days 00:01:17.373000,29.0,1.0,HARD,29.0,29.0,0 days 00:00:20.210000,0 days 00:00:36.593000,0 days 00:00:20.570000,77.373,20.21,36.593,20.57,78.81244827586207
107,GAS,0 days 00:01:17.083000,30.0,1.0,HARD,30.0,30.0,0 days 00:00:20.158000,0 days 00:00:36.385000,0 days 00:00:20.540000,77.083,20.158,36.385,20.54,78.75479999999999
